customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C0013,Male,1,Yes,Yes,59,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Two year,No,Credit card (automatic),118.04602355883765,5801.646306739576,No
C0014,Female,0,No,Yes,69,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,54.33781037567773,4607.337577127168,No
C0015,Male,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),80.61737590520715,8166.978349545317,No
C0016,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.78841226218448,1035.4685541201638,No
C0017,Female,1,Yes,Yes,61,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),119.04068798148698,6276.953075186438,No
C0018,Female,1,No,Yes,31,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),63.40132554145307,1106.7547185770682,No
C0019,Male,0,Yes,No,22,No,No phone service,DSL,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),82.6811387084139,3256.807584468412,No
C0020,Female,0,No,No,43,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,No,Bank transfer (automatic),30.92561043717306,4984.079606788241,No
C0021,Male,0,No,Yes,67,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),92.76846991609312,6269.977790857916,No
C0022,Female,1,No,No,54,No,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),45.459425903313445,49.51996250696821,No
C0023,Female,1,No,No,10,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Credit card (automatic),63.758551788626534,2228.3912722054056,No
C0024,Female,1,Yes,No,42,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,108.0795723574007,4583.0157199380965,No
C0025,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,116.99635651828035,4537.834546647902,No
C0026,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,One year,No,Electronic check,61.30635438771641,5426.347421214212,No
C0027,Female,0,Yes,Yes,66,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,103.14987213135899,2595.286072924263,No
C0028,Female,0,Yes,No,41,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,23.441597444085797,4602.769107736352,No
C0029,Female,1,Yes,No,24,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,104.45255103860677,1627.771446200077,No
C0030,Male,1,Yes,Yes,35,No,Yes,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Electronic check,82.21005285957027,1603.0501225701094,No
C0031,Male,1,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,Yes,Mailed check,67.8480291759434,4908.415537750551,No
C0032,Female,1,Yes,Yes,30,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,108.77629792399927,5832.178466354582,No
C0033,Female,0,Yes,No,57,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,104.2243966956542,1039.2325173906843,No
C0034,Female,0,No,Yes,47,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),48.28839978726434,1059.5039479516224,No
C0035,Male,1,Yes,Yes,35,Yes,Yes,No,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,98.73181499916527,4812.897428967541,No
C0036,Female,1,Yes,No,19,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),28.148075233562004,2308.9521708698817,No
C0037,Male,0,No,No,8,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),101.92192141767175,3346.3291852091324,No
C0038,Male,0,Yes,No,26,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),86.89647303837155,3417.1483329467555,Yes
C0039,Male,0,Yes,Yes,71,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,No,Electronic check,26.96236575505816,1532.4853524546606,Yes
C0040,Male,1,Yes,No,30,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,87.67417769436182,29.150720758573403,No
C0041,Male,0,No,No,7,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,77.21296622098976,7254.43365215712,No
C0042,Female,0,Yes,Yes,67,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Mailed check,78.64411031679457,6082.646700190192,No
C0043,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),47.66812138322925,5875.148049936227,No
C0044,Female,0,No,Yes,36,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,45.18271440131022,4653.456581477178,No
C0045,Female,0,Yes,Yes,25,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),95.77858142951004,5963.624610131617,No
C0046,Female,0,No,No,37,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),44.19497506375839,7954.508818358962,No
C0047,Male,0,No,No,1,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,63.51874968460966,5664.244630696848,No
C0048,Female,0,Yes,No,15,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),88.86847785707604,2266.5052711486305,No
C0049,Female,0,No,No,37,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),26.12085763539865,4857.490358866296,No
C0050,Male,0,No,No,13,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),78.64393502638904,3769.7955893521944,No
C0051,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,One year,No,Electronic check,78.11639001010796,4737.547070093252,Yes
C0052,Male,0,No,Yes,5,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,87.7913285105786,4408.372069415582,Yes
C0053,Female,0,No,Yes,60,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),55.73266572117718,7302.131969307839,No
C0054,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),63.79593695451165,5546.568476878211,No
C0055,Female,0,Yes,Yes,36,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),51.65687002235875,1619.0494098370696,Yes
C0056,Female,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),100.43316121325513,552.5083184208953,No
C0057,Male,0,No,Yes,66,Yes,No,DSL,Yes,No,No,No internet service,No,No,Two year,No,Mailed check,31.322297523685513,3617.453655595185,No
C0058,Male,0,Yes,Yes,63,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),116.22130326468364,150.40929799005946,No
C0059,Male,0,No,Yes,23,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,82.75328790988017,2717.7984266383532,Yes
C0060,Male,0,No,No,9,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,One year,No,Electronic check,108.46448588800195,3139.558103783512,No
C0061,Male,0,No,Yes,34,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),61.47560874300596,3203.7448293521747,No
C0062,Male,0,No,No,46,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),51.89246517998366,8324.846906315259,No
C0063,Male,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),109.8740326326463,2595.6872384804756,No
C0064,Male,0,No,Yes,30,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.085048945382884,2267.6596158014654,No
C0065,Female,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,No,Electronic check,29.944937613538336,1115.4090573148846,No
C0066,Female,0,Yes,Yes,3,No,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,48.53337120143709,4352.376944259921,Yes
C0067,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),115.89704814016449,1321.4654653039304,No
C0068,Female,1,No,No,60,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),82.57299820624092,5245.411753382514,Yes
C0069,Female,0,No,No,45,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.52775705477062,1334.0652449550807,No
C0070,Female,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,Yes,Electronic check,89.9463463082529,4909.343081233545,No
C0071,Female,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Mailed check,60.58240471997295,7026.41568667918,No
C0072,Male,0,Yes,Yes,61,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),95.32349714492152,378.69394150894374,No
C0073,Female,0,Yes,Yes,16,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),58.109531193233515,3578.2938412562225,No
C0074,Male,1,Yes,No,66,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Electronic check,102.28904485535938,3928.6173399501627,No
C0075,Female,1,No,Yes,40,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),45.26409837180346,6727.873920981349,Yes
C0076,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Mailed check,46.30975924839847,3986.860390162106,Yes
C0077,Female,1,Yes,Yes,34,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,71.283097153527,4831.838540722508,No
C0078,Male,0,Yes,No,16,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),61.93763815289698,6728.994478934019,No
C0079,Female,0,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),84.10781611703892,4765.8715370262435,Yes
C0080,Male,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Credit card (automatic),55.157656976705056,3057.0956254730977,No
C0081,Female,1,Yes,No,66,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,No,Mailed check,41.51616620517741,746.1141987777788,No
C0082,Male,0,No,Yes,13,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,65.92047341405592,6209.144369525683,No
C0083,Female,0,Yes,Yes,56,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),75.21756294870892,7406.9937896754,No
C0084,Male,0,No,Yes,31,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.545205490628426,8246.08740300503,No
C0085,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Two year,Yes,Mailed check,74.78529982478287,7877.420188704442,Yes
C0086,Female,0,No,Yes,39,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),50.56418393528548,6781.6987027236155,Yes
C0087,Male,0,No,Yes,67,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,58.03009225658781,5475.928929308267,No
C0088,Female,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),46.49044916445469,6646.344956935475,No
C0089,Female,0,No,No,55,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Two year,Yes,Credit card (automatic),113.00385343489211,3682.93405241124,No
C0090,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Mailed check,87.70030069058181,5062.891853855862,Yes
C0091,Female,0,No,Yes,53,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,44.7709517628697,2975.6717811185686,No
C0092,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,One year,Yes,Mailed check,83.79319612429892,2789.1475614636065,Yes
C0093,Female,0,No,Yes,65,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,No,Mailed check,104.55438577736871,6436.259620927319,No
C0094,Female,1,Yes,No,17,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),58.9662812499424,3868.2578594988104,No
C0095,Female,0,No,Yes,30,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Credit card (automatic),102.65566593393059,1817.5518321809898,No
C0096,Female,0,No,Yes,53,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),33.75032432267922,1730.8394895909064,No
C0097,Female,0,Yes,No,13,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,101.92369921634914,7305.4999708361765,No
C0098,Female,0,No,No,21,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),73.11001275258137,5766.764513184176,No
C0099,Male,0,Yes,No,19,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,40.743397777018174,4649.562794223539,No
C0100,Male,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,59.52842122470297,3418.7623587211206,Yes
C0101,Female,0,Yes,No,19,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),118.77528522955491,3672.193108656401,No
C0102,Female,0,Yes,Yes,57,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.92271369752747,505.16531716151337,No
C0103,Female,0,No,No,25,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,76.65880886128176,3876.5478487690425,Yes
C0104,Female,0,No,Yes,31,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,29.746719014261608,6765.048551896498,No
C0105,Female,0,Yes,Yes,55,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Mailed check,60.616781455953024,3308.901324168524,Yes
C0106,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),44.8312544292176,3271.536184071914,No
C0107,Female,0,No,No,32,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),25.242110109549806,151.30805716959912,No
C0108,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,One year,No,Credit card (automatic),73.30484764937012,3901.358697017538,No
C0109,Male,0,No,Yes,10,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Two year,No,Electronic check,108.69694138376937,232.91397230465492,Yes
C0110,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),86.91118655376076,4855.703848370312,Yes
C0111,Male,0,Yes,No,54,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),43.46739957401214,4316.536642581188,No
C0112,Female,0,No,No,52,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),76.50562990928648,7142.952087873358,Yes
C0113,Female,0,No,No,20,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.20989690139083,4952.663141871967,No
C0114,Male,1,No,No,32,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),91.73733539813941,2761.3108278430295,No
C0115,Female,1,Yes,Yes,14,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),88.32633773948993,4396.671421874265,No
C0116,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),116.75213295520666,5952.909309470811,No
C0117,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),99.48507774077054,815.0009126708669,No
C0118,Female,1,No,No,53,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Electronic check,31.93560139607272,5285.950418406219,No
C0119,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,No,Bank transfer (automatic),53.45877887157254,7792.8241237372185,Yes
C0120,Female,0,No,No,22,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.44435147524398,2555.223167544215,No
C0121,Male,0,Yes,Yes,30,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,67.94995020819579,5333.034054741729,No
C0122,Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,29.387019422760908,6984.516397870765,No
C0123,Male,0,Yes,No,4,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),64.77769772657888,4359.141863074409,No
C0124,Male,0,Yes,No,59,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Credit card (automatic),89.09330987522168,6107.902407560904,No
C0125,Female,0,No,Yes,8,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,119.74991861148659,2655.989691065904,Yes
C0126,Female,0,No,No,12,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Credit card (automatic),51.03834228944659,2613.987797711078,No
C0127,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,One year,Yes,Credit card (automatic),70.43686123768592,5680.447672895391,Yes
C0128,Female,0,Yes,No,34,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,107.72743187427898,6001.27806904309,No
C0129,Female,0,No,Yes,49,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.237256241848016,7965.716271262003,No
C0130,Female,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Electronic check,29.14467877226744,1925.0807907578599,No
C0131,Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,114.79145925015341,3989.4216500181537,No
C0132,Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.82096228477701,2142.855279376127,No
C0133,Male,0,Yes,No,38,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),69.28393849874112,697.3417085862415,No
C0134,Male,0,No,Yes,50,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,No,Bank transfer (automatic),81.36241474962658,3438.2013380505905,Yes
C0135,Male,0,Yes,Yes,8,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,18.36073561772891,3190.9528984985404,No
C0136,Male,0,No,No,41,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),112.97537990802262,2311.822205688918,Yes
C0137,Male,0,No,No,6,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Electronic check,54.86801064700325,2537.1106666445303,Yes
C0138,Male,0,Yes,Yes,69,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Mailed check,58.48704996320356,3075.012941471541,Yes
C0139,Male,0,Yes,No,44,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.75914324838997,8405.320801240754,No
C0140,Female,0,No,No,64,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Bank transfer (automatic),56.57146455583103,6659.04777093447,Yes
C0141,Male,0,Yes,No,29,No,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,100.00224013915731,623.6249876191448,No
C0142,Female,0,Yes,No,28,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.59915060066456,7417.808562960205,No
C0143,Female,0,Yes,Yes,11,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),113.45127777133618,5389.678814513531,No
C0144,Female,0,Yes,No,65,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,59.12940621344117,7572.016273354034,Yes
C0145,Male,1,No,No,19,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.2895933823556,2916.3815662385955,No
C0146,Male,0,No,Yes,9,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),69.73823063117082,3958.049011332999,No
C0147,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.01032453095137,7619.797900087375,No
C0148,Male,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),90.67928493156569,2329.9653388198462,No
C0149,Female,0,Yes,No,44,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),55.526098379200114,7783.278432313613,No
C0150,Male,0,Yes,No,68,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,52.340731093876634,7045.3345584076915,Yes
C0151,Male,0,No,No,15,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),43.74913122885269,8335.092454792626,No
C0152,Male,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),76.80461062984105,2768.3528530727917,Yes
C0153,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.31197086257367,2017.6584728005728,No
C0154,Male,0,Yes,Yes,49,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),38.40680723699173,2824.413020741866,No
C0155,Female,0,Yes,No,70,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),27.71575040024117,8115.339569576452,No
C0156,Male,0,No,No,56,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,30.178865491783988,2843.1276971210505,Yes
C0157,Female,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),97.8760649775153,4812.1266568772935,No
C0158,Male,0,No,No,37,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),53.7106900370255,3442.0076748988135,No
